amount,hour,location_mismatch,txn_frequency,card_type,merchant_category,is_fraud
149.8,17,0,17,0,1,0
41.67,20,0,16,0,0,0
267.01,0,0,16,1,3,1
195.48,23,0,14,0,0,0
56.04,20,0,2,0,1,0
138.98,11,1,19,1,0,0
140.46,9,0,3,0,0,0
10.88,1,1,8,0,2,0
232.84,8,1,19,1,2,1
70.37,1,0,16,1,1,0
175.13,22,0,4,0,3,0
38.57,23,1,8,1,1,1
225.88,21,0,1,1,3,0
49.3,13,1,4,0,3,0
1.09,10,0,7,0,2,0
235.79,22,0,1,1,2,0
9.57,10,0,18,1,1,0
38.47,16,0,4,1,1,0
299.7,3,1,14,0,1,0
300.79,12,0,8,0,2,0
85.2,6,0,18,0,2,0
99.92,15,0,7,1,0,0
59.5,0,0,3,0,1,0
34.7,12,0,14,0,0,0
39.85,0,0,12,1,3,0
111.63,10,0,15,0,1,0
139.58,5,0,8,1,2,0
156.82,19,0,5,1,1,0
155.88,2,0,17,1,1,0
9.56,11,1,10,1,2,0
68.2,4,0,11,1,2,0
5.93,8,0,16,0,3,0
79.75,11,0,16,1,1,0
58.26,9,0,4,1,1,0
218.66,18,0,5,1,1,0
43.22,4,0,10,1,1,0
12.45,4,0,14,0,3,0
15.43,8,0,9,0,1,0
143.34,19,0,18,0,3,1
96.29,16,0,6,0,3,0
10.66,9,0,11,1,2,0
8.79,20,1,17,1,1,1
120.72,0,0,9,1,2,0
7.55,21,0,3,0,3,0
172.52,15,0,16,1,0,0
122.5,14,0,4,0,0,0
8.48,22,0,15,1,1,0
8.87,16,0,2,1,0,0
431.55,19,0,17,0,2,0
46.88,12,0,19,1,0,1
46.31,0,1,16,1,0,0
167.56,7,0,19,1,3,0
294.22,4,0,17,1,2,1
426.88,5,0,4,1,1,0
139.99,22,0,18,0,2,0
47.2,19,0,4,1,2,0
8.72,13,0,3,1,1,0
150.12,21,0,18,0,2,0
81.74,22,0,5,1,3,0
55.2,10,0,9,1,1,0
236.82,5,1,15,1,3,0
11.79,10,0,9,1,2,0
67.85,12,0,14,1,0,0
1.14,11,0,2,1,1,0
63.24,21,0,18,0,1,0
5.8,1,1,13,0,0,0
12.65,20,0,16,1,0,0
12.5,2,0,6,1,1,0
104.76,22,0,16,1,0,0
137.06,3,0,4,1,3,0
87.56,16,1,10,1,2,0
327.47,21,0,19,0,3,0
46.98,5,1,11,1,2,0
33.65,6,0,5,0,2,0
202.95,14,0,18,1,0,0
25.31,10,0,3,0,0,0
330.29,23,0,8,0,3,0
1.22,2,0,11,0,0,0
350.25,5,0,19,0,3,0
4.41,1,0,3,1,1,0
221.77,13,0,12,1,3,0
75.01,8,0,15,1,2,0
495.68,17,1,16,1,1,1
7.67,18,0,5,1,3,0
80.71,11,0,19,0,3,0
348.36,12,0,6,1,1,0
74.04,11,1,12,0,1,0
99.26,11,0,19,1,2,0
118.99,17,0,9,0,2,0
60.61,8,0,18,1,2,0
98.77,16,0,3,0,0,0
87.78,20,0,14,0,2,0
231.42,15,1,5,1,0,0
4.65,16,0,5,0,3,0
32.98,20,0,4,0,3,0
300.4,23,1,16,1,3,1
220.97,7,0,13,0,0,0
60.82,10,1,8,0,3,0
96.79,23,1,16,1,3,0
32.49,1,0,2,0,0,0
20.84,7,0,8,0,2,0
62.31,11,0,3,0,2,0
43.6,20,0,9,0,2,0
87.62,0,0,11,1,2,0
8.09,22,0,1,1,1,0
366.5,12,0,1,1,3,0
428.39,21,0,8,1,2,0
119.79,20,0,16,1,2,0
76.81,16,0,10,1,2,0
37.04,13,0,2,0,2,0
168.09,13,1,16,0,2,0
115.43,15,0,4,0,1,0
17.75,16,0,19,1,1,0
241.83,5,0,9,1,0,0
172.9,6,0,3,0,0,0
299.17,0,0,11,0,2,0
129.36,14,1,8,1,0,0
95.04,19,0,7,0,1,0
54.17,20,0,1,1,2,0
269.9,17,0,8,0,0,0
201.04,12,0,17,1,0,0
4.63,23,0,11,0,1,0
2.67,1,0,7,1,3,0
47.23,18,0,9,0,2,0
166.36,14,0,14,1,0,0
436.43,11,0,5,0,1,0
16.3,14,0,18,0,2,0
90.17,17,0,13,0,1,0
47.95,13,0,5,1,2,0
350.37,5,0,8,0,3,0
184.59,11,0,15,0,3,0
182.22,19,0,4,1,2,0
63.24,22,0,1,0,2,0
53.58,5,0,6,0,1,0
31.94,8,0,19,0,2,1
5.8,3,0,12,0,0,0
200.04,16,0,7,0,2,0
167.61,1,1,13,0,2,0
817.24,15,1,7,0,3,0
569.49,23,0,9,1,3,0
81.07,13,0,1,0,1,0
146.53,7,0,13,1,2,0
289.62,13,0,19,0,0,1
189.48,1,0,1,1,0,0
28.42,15,1,19,1,2,0
59.88,3,0,18,0,1,1
13.83,0,0,5,1,0,0
308.02,22,0,3,0,1,0
93.18,19,0,2,1,2,0
25.96,13,0,10,1,1,0
111.38,7,0,6,1,2,0
96.27,2,0,19,1,3,0
44.34,4,0,17,0,2,0
12.05,5,0,19,0,1,0
111.34,21,0,13,1,0,0
73.46,7,1,17,1,2,0
147.98,5,0,18,0,2,0
73.43,5,0,11,1,2,0
191.18,3,0,13,1,3,0
80.28,6,0,11,0,3,0
82.31,23,0,19,1,3,0
209.28,18,0,10,1,0,0
51.66,6,0,3,1,0,0
14.39,2,0,6,0,2,0
2.92,7,0,7,1,0,0
140.71,0,0,5,1,1,0
96.84,0,1,9,0,1,0
121.77,13,1,10,0,3,1
23.95,5,1,14,0,1,0
14.66,9,0,11,0,1,0
1.47,13,1,17,0,2,0
43.17,3,0,11,1,3,0
89.14,5,0,7,1,3,0
49.8,15,0,11,1,3,0
57.53,20,0,13,1,1,0
234.51,0,0,19,1,0,0
42.81,5,0,6,0,2,0
72.15,8,0,2,0,0,0
153.09,14,0,14,0,3,0
50.51,11,0,16,0,3,1
97.31,2,0,7,1,1,0
198.31,10,0,1,0,2,0
298.62,14,0,2,1,2,0
15.91,2,1,9,1,2,1
261.17,13,0,18,0,1,0
67.75,1,0,18,1,0,1
29.87,3,0,18,0,2,0
61.46,18,0,10,0,0,0
391.37,11,0,8,0,1,0
67.85,1,0,8,0,1,1
39.86,16,1,2,0,0,0
100.35,2,0,18,1,2,0
27.46,9,0,11,1,0,0
7.89,15,0,11,1,2,0
13.8,21,0,19,0,3,0
13.7,8,0,11,1,3,0
16.48,10,0,10,1,2,0
14.95,20,0,8,1,0,0
102.41,14,0,15,0,2,0
20.07,2,0,8,0,2,0
42.41,15,0,19,1,2,0
227.1,20,0,1,1,3,0
64.24,20,0,3,1,1,0
110.13,20,0,12,1,3,0
18.91,11,0,16,0,2,0
21.36,22,0,16,1,0,0
4.17,4,0,17,1,1,0
18.5,6,0,16,1,2,0
32.65,8,0,9,0,1,0
19.48,20,0,19,0,0,0
9.29,17,0,1,1,1,0
12.86,20,0,18,0,1,1
61.76,7,0,6,0,2,0
23.11,11,0,6,0,0,0
45.3,19,0,12,1,0,0
70.0,1,0,3,0,3,0
117.25,9,0,11,1,1,0
4.01,18,0,6,0,2,0
160.65,8,0,14,0,1,0
98.86,23,0,18,1,1,0
8.53,7,1,16,1,1,0
206.81,23,0,13,0,2,0
253.67,23,0,1,0,1,0
6.3,23,0,6,1,2,0
32.42,0,0,14,0,0,0
164.09,5,1,17,1,1,0
137.94,11,0,13,1,3,0
20.4,23,1,13,1,0,0
23.49,18,0,9,0,3,0
46.28,16,0,6,0,1,0
66.27,1,0,6,1,0,0
96.3,10,0,5,0,2,0
46.03,17,0,14,1,1,0
62.09,22,0,14,0,1,0
137.62,21,0,4,0,2,0
3.74,10,0,2,0,3,0
29.09,17,0,2,0,0,0
124.95,7,0,17,1,0,0
225.58,14,0,10,0,2,0
71.68,8,0,14,1,0,0
75.95,14,0,19,0,2,0
11.34,6,0,17,1,3,0
59.31,19,1,11,0,3,0
76.06,12,0,7,1,0,0
27.77,12,0,9,0,2,0
31.37,0,0,14,1,2,0
47.37,19,0,4,0,2,0
2.03,3,0,14,0,2,0
38.87,23,0,17,0,0,0
23.76,3,0,19,1,1,0
39.67,3,0,17,1,0,0
12.76,12,0,14,0,2,0
221.21,1,1,13,1,1,0
90.04,22,0,14,0,1,0
113.66,14,0,16,0,0,0
155.67,3,0,15,0,2,0
69.0,5,0,19,1,2,0
9.09,2,0,11,1,2,0
77.03,6,0,12,0,2,0
88.39,5,0,11,1,2,0
136.82,2,1,5,1,1,0
56.5,3,0,8,0,0,0
13.65,9,0,6,0,0,0
33.38,20,0,16,1,3,0
45.11,8,0,12,0,0,0
103.82,5,0,6,0,1,0
84.58,19,0,13,1,3,0
44.02,10,1,7,1,1,0
430.62,6,0,8,1,0,0
93.08,17,0,12,0,1,0
27.08,3,0,2,0,1,0
10.73,4,0,9,1,0,0
16.59,3,0,13,1,1,1
28.23,3,0,17,0,3,0
17.52,12,1,13,1,3,0
20.65,15,0,16,1,2,0
33.56,13,0,1,0,3,0
19.04,10,0,7,0,3,0
227.08,1,0,13,1,0,0
8.36,21,0,14,1,3,0
74.34,13,0,17,0,0,0
52.83,23,0,16,0,3,1
403.86,23,0,15,0,0,1
11.88,6,0,17,0,0,0
50.73,10,0,2,1,1,0
348.91,3,0,12,0,3,1
200.62,6,0,3,0,0,0
169.87,15,0,9,1,3,0
29.83,5,0,6,1,2,0
18.74,5,0,6,1,1,0
110.46,1,0,7,0,1,0
265.04,23,0,8,1,0,0
81.37,7,0,3,0,3,0
84.77,6,0,15,0,1,0
32.85,23,0,6,1,1,0
146.75,13,0,11,0,1,0
20.71,8,1,3,1,0,0
39.11,14,0,16,1,2,0
55.41,21,0,6,0,0,0
70.85,17,1,11,0,2,0
27.76,11,0,8,0,1,0
12.2,22,0,10,1,2,0
94.32,18,0,10,1,0,0
34.06,12,0,3,1,0,0
87.05,6,0,14,0,3,0
16.77,9,0,19,1,3,0
65.61,9,0,9,1,0,0
76.05,1,0,13,1,3,0
5.32,13,0,9,0,1,0
41.04,12,0,12,0,2,0
14.43,21,0,14,0,0,0
6.55,5,0,5,1,0,0
460.12,8,0,6,1,3,0
38.91,12,0,13,0,0,0
166.01,8,0,13,0,3,0
29.39,12,0,6,1,1,0
114.41,4,0,14,1,0,1
142.81,13,0,11,1,1,0
90.54,4,0,13,0,1,0
63.79,8,0,12,0,0,0
53.08,7,0,16,0,3,0
42.9,6,1,6,0,3,0
265.26,7,0,9,1,1,0
177.56,21,0,17,1,3,0
335.32,2,0,16,1,3,0
13.27,22,0,12,0,1,0
131.26,23,0,18,0,0,0
278.61,14,0,9,1,0,0
20.0,7,0,3,0,2,0
6.88,0,0,10,0,0,0
135.14,6,0,11,1,3,0
85.44,18,0,2,0,2,0
184.41,1,0,8,0,2,0
15.06,13,0,11,1,2,0
158.61,17,0,18,1,0,0
22.52,14,0,7,1,2,0
17.87,13,1,14,0,2,0
17.94,23,0,7,1,2,0
168.51,18,1,1,1,0,0
109.42,18,0,12,0,0,0
74.04,21,0,1,0,0,0
44.45,16,0,3,1,0,0
209.72,21,0,2,1,1,0
49.83,18,0,3,0,0,0
169.61,15,0,4,0,3,0
57.83,19,0,14,0,2,0
47.31,18,0,18,1,0,0
62.12,0,0,5,0,3,0
35.86,18,0,15,1,3,0
137.68,6,0,16,1,3,0
69.86,22,0,8,1,1,0
26.42,10,0,8,0,1,0
229.83,4,0,7,0,1,0
48.43,16,0,6,1,3,0
78.43,10,0,7,1,0,0
236.95,23,0,19,0,3,0
97.88,7,0,1,1,1,0
12.43,9,0,13,0,1,0
281.06,11,0,7,1,1,0
98.81,9,0,1,0,0,0
40.78,12,0,10,1,3,0
15.0,17,0,13,1,1,0
158.0,9,0,4,1,3,0
96.78,18,0,7,0,3,0
76.24,19,0,6,0,1,0
224.33,16,1,6,0,2,0
155.4,19,0,11,1,2,0
16.45,15,0,9,1,2,0
37.36,4,1,7,0,1,0
28.57,2,0,9,0,3,0
136.24,14,1,6,0,2,0
3.41,1,0,19,1,0,0
84.37,12,0,14,0,2,0
143.74,21,0,1,0,0,0
209.37,7,0,16,1,2,0
41.87,22,0,9,0,2,0
172.18,16,0,15,0,2,0
11.72,3,0,19,0,0,1
187.37,18,0,10,0,0,0
13.64,21,0,16,0,2,0
50.63,8,0,3,1,0,0
159.6,22,1,19,0,3,0
16.24,14,0,13,0,2,0
26.04,8,0,14,0,3,0
128.1,23,0,7,0,1,0
127.31,20,0,2,1,1,0
102.48,8,0,14,0,1,0
118.4,13,0,17,1,3,0
78.25,22,0,13,0,0,0
29.01,20,0,2,0,1,0
42.42,15,0,5,0,2,0
20.04,23,0,4,1,2,0
239.09,22,0,3,0,0,0
87.56,16,0,14,0,2,0
51.22,12,1,11,0,3,0
61.99,8,1,8,0,1,0
294.28,14,0,9,0,3,0
16.65,6,0,16,1,2,0
88.24,0,1,3,0,3,0
70.5,0,0,10,1,0,0
94.53,4,0,1,1,3,0
1.83,23,0,9,1,2,0
205.67,8,1,16,0,2,0
269.0,11,0,9,1,1,0
83.27,5,0,12,0,3,0
119.29,12,0,1,1,0,0
255.75,7,0,16,0,1,0
122.84,14,0,8,0,2,0
16.55,5,0,14,0,3,0
85.87,5,0,14,0,0,0
93.32,3,0,10,0,2,1
55.19,10,0,1,1,2,0
133.35,20,0,6,0,1,0
272.37,17,0,9,1,2,0
259.79,2,0,19,0,0,0
59.94,2,0,16,0,0,0
12.02,11,0,19,0,1,0
418.92,20,0,11,0,1,0
182.57,20,1,11,0,0,1
13.31,5,0,14,0,1,0
253.63,20,0,7,0,2,0
203.94,5,0,12,0,0,0
73.16,7,0,5,0,1,0
89.47,14,1,1,1,0,0
50.92,17,0,11,1,2,0
5.63,19,0,15,1,1,0
40.83,15,1,10,0,0,0
162.38,5,0,15,1,2,0
0.46,20,0,13,0,1,0
40.57,16,0,15,0,0,0
50.78,8,0,2,0,2,0
77.09,18,1,13,1,2,1
252.39,17,0,12,1,2,0
42.52,22,1,4,0,3,0
42.61,4,1,12,0,2,0
133.75,5,0,15,1,2,0
60.19,11,0,13,1,1,0
25.44,10,0,2,1,3,0
60.23,15,0,16,1,2,1
15.18,19,0,14,1,1,0
19.41,16,0,2,1,1,0
68.99,19,0,17,1,0,0
54.29,8,1,16,1,0,0
246.33,0,0,4,1,3,0
45.0,2,0,11,0,1,0
86.89,20,1,13,0,2,0
100.04,22,0,6,0,2,0
1.32,8,0,17,0,1,0
108.93,21,0,1,1,3,0
19.61,18,0,9,0,2,0
324.6,12,0,18,0,3,0
16.09,22,0,11,0,1,0
53.55,13,0,14,1,3,1
8.92,19,1,2,1,0,0
576.81,18,0,11,1,3,0
69.75,22,0,2,0,3,0
90.48,6,0,4,0,2,0
6.94,3,0,13,0,3,0
138.61,11,0,6,0,2,0
23.56,22,1,7,1,2,1
228.33,13,0,3,1,0,0
22.96,1,0,4,0,2,0
21.16,0,0,3,0,1,0
3.72,17,0,1,1,2,0
63.88,19,0,19,0,1,0
83.2,7,0,13,1,2,0
6.8,2,0,14,1,1,0
149.4,5,0,16,1,0,0
60.38,21,0,4,0,3,0
74.32,12,0,17,1,2,0
58.12,8,0,10,0,0,0
51.21,8,1,7,0,0,0
82.02,19,0,13,1,2,0
16.87,8,0,13,0,2,0
20.08,14,0,14,0,1,0
197.89,12,0,6,1,2,0
292.09,21,0,16,0,2,0
